"filename", "language", "Python", "TOML", "Markdown", "MS SQL", "Ini", "comment", "blank", "total"
"c:\Users\sajit\AlgoRoyale\BUILD_PLAN.md", "Markdown", 0, 0, 108, 0, 0, 0, 41, 149
"c:\Users\sajit\AlgoRoyale\README.md", "Markdown", 0, 0, 26, 0, 0, 0, 19, 45
"c:\Users\sajit\AlgoRoyale\app_run.py", "Python", 12, 0, 0, 0, 0, 36, 9, 57
"c:\Users\sajit\AlgoRoyale\poetry.lock", "TOML", 0, 2197, 0, 0, 0, 1, 163, 2361
"c:\Users\sajit\AlgoRoyale\pyproject.toml", "TOML", 0, 42, 0, 0, 0, 130, 13, 185
"c:\Users\sajit\AlgoRoyale\scripts\add_file_headers.py", "Python", 68, 0, 0, 0, 0, 7, 16, 91
"c:\Users\sajit\AlgoRoyale\scripts\create_test_directory.py", "Python", 123, 0, 0, 0, 0, 33, 35, 191
"c:\Users\sajit\AlgoRoyale\scripts\import_helper.py", "Python", 49, 0, 0, 0, 0, 4, 13, 66
"c:\Users\sajit\AlgoRoyale\scripts\setup_database.py", "Python", 8, 0, 0, 0, 0, 4, 6, 18
"c:\Users\sajit\AlgoRoyale\src\algo_royale\adapters\account_cash_adapter.py", "Python", 12, 0, 0, 0, 0, 2, 6, 20
"c:\Users\sajit\AlgoRoyale\src\algo_royale\adapters\market_data\corporate_action_adapter.py", "Python", 48, 0, 0, 0, 0, 19, 10, 77
"c:\Users\sajit\AlgoRoyale\src\algo_royale\adapters\market_data\news_adapter.py", "Python", 37, 0, 0, 0, 0, 19, 9, 65
"c:\Users\sajit\AlgoRoyale\src\algo_royale\adapters\market_data\quote_adapter.py", "Python", 131, 0, 0, 0, 0, 124, 16, 271
"c:\Users\sajit\AlgoRoyale\src\algo_royale\adapters\market_data\screener_adapter.py", "Python", 22, 0, 0, 0, 0, 18, 8, 48
"c:\Users\sajit\AlgoRoyale\src\algo_royale\adapters\market_data\stream_adapter.py", "Python", 46, 0, 0, 0, 0, 48, 13, 107
"c:\Users\sajit\AlgoRoyale\src\algo_royale\adapters\trading\account_adapter.py", "Python", 96, 0, 0, 0, 0, 67, 11, 174
